Metric Category,Metric Name,Value
Broker,CPU Min (%),15.52347
Broker,CPU Max (%),44.48316
Broker,CPU Avg (%),25.13099
Broker,CPU Variance,69.80839
Broker,Memory Min (MB),94.79588
Broker,Memory Max (MB),96.16087
Broker,Memory Avg (MB),95.73060
Broker,Memory Variance,0.12593
Messaging,Latency Min (ms),-9.37676
Messaging,Latency Max (ms),160.75993
Messaging,Latency Avg (ms),5.39468
Messaging,Latency Variance,55.80999
Messaging,Throughput (msgs/sec),700.93731
Messaging,Avg Header Size (bytes),33.09509
Messaging,Data Messages,126388
Messaging,Non-Data Messages,95
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,126343
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,126516
Purpose Correctness,Total Received,126343
Purpose Correctness,Total Rejected,173
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0010
OP Correctness,Total Operational Requests,85
OP Correctness,Total Expected Responses,68
OP Correctness,Total Actual Responses,68
OP Correctness,Total Relevant Requests Recieved,85
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
OP Correlation,Total Tracked Operations,85
OP Correlation,Total Completed Operations,85
OP Correlation,Overall Completion Rate,1.0000
OP Correlation,AUDIT Operations Issued,17
OP Correlation,AUDIT Completion Rate,1.0000
OP Correlation,AUDIT Median Latency (ms),11.28674
OP Correlation,AUDIT p90 Latency (ms),89.10398
OP Correlation,AUDIT p99 Latency (ms),172.73704
OP Correlation,DELETE Operations Issued,17
OP Correlation,DELETE Completion Rate,1.0000
OP Correlation,DELETE Median Latency (ms),23.52548
OP Correlation,DELETE p90 Latency (ms),121.14253
OP Correlation,DELETE p99 Latency (ms),167.71177
OP Correlation,HISTORY Operations Issued,17
OP Correlation,HISTORY Completion Rate,1.0000
OP Correlation,HISTORY Median Latency (ms),7.49135
OP Correlation,HISTORY p90 Latency (ms),54.46830
OP Correlation,HISTORY p99 Latency (ms),92.43353
OP Correlation,RESTRICT Operations Issued,17
OP Correlation,RESTRICT Completion Rate,1.0000
OP Correlation,RESTRICT Median Latency (ms),25.47908
OP Correlation,RESTRICT p90 Latency (ms),138.87167
OP Correlation,RESTRICT p99 Latency (ms),231.02822
OP Correlation,UPDATE Operations Issued,17
OP Correlation,UPDATE Completion Rate,1.0000
OP Correlation,UPDATE Median Latency (ms),12.42781
OP Correlation,UPDATE p90 Latency (ms),68.98293
OP Correlation,UPDATE p99 Latency (ms),145.87427
O1 Informed,REGISTER-INFO Requests Issued,10
O1 Informed,Publishers Informed,40
O1 Informed,Publishers With Consumers,40
O1 Informed,Informed Completion Rate,1.0000
