Metric Category,Metric Name,Value
Broker,CPU Min (%),16.06096
Broker,CPU Max (%),44.97608
Broker,CPU Avg (%),25.18874
Broker,CPU Variance,71.81607
Broker,Memory Min (MB),94.87157
Broker,Memory Max (MB),96.34049
Broker,Memory Avg (MB),95.81759
Broker,Memory Variance,0.14579
Messaging,Latency Min (ms),-13.81278
Messaging,Latency Max (ms),149.13726
Messaging,Latency Avg (ms),5.32730
Messaging,Latency Variance,50.79769
Messaging,Throughput (msgs/sec),694.72106
Messaging,Avg Header Size (bytes),33.98785
Messaging,Data Messages,124973
Messaging,Non-Data Messages,185
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,124928
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,125204
Purpose Correctness,Total Received,124928
Purpose Correctness,Total Rejected,276
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0005
OP Correctness,Total Operational Requests,85
OP Correctness,Total Expected Responses,68
OP Correctness,Total Actual Responses,68
OP Correctness,Total Relevant Requests Recieved,85
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
OP Correlation,Total Tracked Operations,85
OP Correlation,Total Completed Operations,85
OP Correlation,Overall Completion Rate,1.0000
OP Correlation,AUDIT Operations Issued,17
OP Correlation,AUDIT Completion Rate,1.0000
OP Correlation,AUDIT Median Latency (ms),11.19137
OP Correlation,AUDIT p90 Latency (ms),44.08031
OP Correlation,AUDIT p99 Latency (ms),75.05483
OP Correlation,DELETE Operations Issued,17
OP Correlation,DELETE Completion Rate,1.0000
OP Correlation,DELETE Median Latency (ms),26.98779
OP Correlation,DELETE p90 Latency (ms),95.05305
OP Correlation,DELETE p99 Latency (ms),159.62551
OP Correlation,HISTORY Operations Issued,17
OP Correlation,HISTORY Completion Rate,1.0000
OP Correlation,HISTORY Median Latency (ms),11.26242
OP Correlation,HISTORY p90 Latency (ms),37.16640
OP Correlation,HISTORY p99 Latency (ms),54.15876
OP Correlation,RESTRICT Operations Issued,17
OP Correlation,RESTRICT Completion Rate,1.0000
OP Correlation,RESTRICT Median Latency (ms),30.11060
OP Correlation,RESTRICT p90 Latency (ms),108.73313
OP Correlation,RESTRICT p99 Latency (ms),187.89031
OP Correlation,UPDATE Operations Issued,17
OP Correlation,UPDATE Completion Rate,1.0000
OP Correlation,UPDATE Median Latency (ms),17.65418
OP Correlation,UPDATE p90 Latency (ms),54.93078
OP Correlation,UPDATE p99 Latency (ms),71.25752
O1 Informed,REGISTER-INFO Requests Issued,100
O1 Informed,Publishers Informed,40
O1 Informed,Publishers With Consumers,40
O1 Informed,Informed Completion Rate,1.0000
